title,popularity,collection,genres_encoded
Elephant,6.447312,No Collection,"[6, 4]"
Jersey Boys,6.447072,No Collection,"[12, 6]"
Life With Mikey,6.446229,No Collection,"[3, 7]"
The Omega Man,6.445639,No Collection,"[0, 15, 17]"
The Guest,6.441964,No Collection,"[13, 17, 0]"
"Bell, Book and Candle",6.441891,No Collection,"[8, 3, 14]"
"The Karate Kid, Part III",6.441664,The Karate Kid Collection,"[7, 1]"
Kuch Kuch Hota Hai,6.441119,No Collection,"[6, 14]"
The Green Butchers,6.438965,No Collection,[3]
Breathe In,6.437916,No Collection,[6]
The Outsiders,6.435926,No Collection,"[4, 6]"
Come and Find Me,6.435238,No Collection,"[6, 17]"
Mr. Pip,6.434329,No Collection,"[6, 18]"
Animal Factory,6.432071,No Collection,"[4, 6]"
Not Suitable For Children,6.431209,No Collection,"[3, 14]"
Boyhood,6.430591,No Collection,[6]
Look Who's Talking Too,6.42968,Look Who's Talking Collection,"[14, 3]"
Hoot,6.429619,No Collection,"[6, 7]"
East of Eden,6.42883,No Collection,[6]
Clown,6.428814,No Collection,[11]
Zatoichi,6.428263,No Collection,"[1, 6, 0]"
Can't Hardly Wait,6.426937,No Collection,"[3, 6, 14]"
Femme Fatale,6.426438,No Collection,"[17, 4, 14]"
Ultimate Avengers,6.425482,Ultimate Avengers Collection,"[0, 2, 1, 15]"
Hearts in Atlantis,6.425321,No Collection,"[6, 13]"
Pitch Black,6.424399,The Chronicles of Riddick Collection,"[17, 15, 0]"
My Giant,6.422711,No Collection,"[3, 6, 7]"
Under the Cherry Moon,6.421995,No Collection,"[3, 12, 14]"
Pokémon: Destiny Deoxys,6.421866,Pokémon Collection,"[1, 2, 7, 8]"
Epoch,6.421741,Epoch Collection,[15]
The Glass House,6.418936,No Collection,"[6, 17]"
Stealing Beauty,6.418805,No Collection,"[6, 14]"
SpaceCamp,6.41742,No Collection,"[7, 1]"
Made of Honor,6.417385,No Collection,"[3, 14]"
Bad Lieutenant,6.417037,No Collection,"[4, 6]"
Supernova,6.416966,No Collection,"[15, 0, 6]"
Meet the Spartans,6.416753,No Collection,[3]
Beyond Skyline,6.416249,No Collection,"[0, 15]"
Taxi to the Dark Side,6.415898,No Collection,[5]
Azumi,6.415721,Azumi Collection,"[1, 6, 0, 17, 14]"
Those Happy Days,6.414934,No Collection,"[3, 7]"
The Desert Rats,6.414758,No Collection,"[0, 1, 6]"
Ghost Shark,6.413331,No Collection,"[11, 15]"
Dirty Wars,6.413287,No Collection,"[5, 6, 18, 4, 13]"
Taxi 2,6.411782,Taxi Collection,"[0, 3, 4]"
Camp,6.411695,No Collection,"[3, 12]"
Anamorph,6.410775,No Collection,"[4, 17]"
A World Apart,6.410191,No Collection,"[6, 9]"
Unearthed,6.410024,No Collection,"[0, 1, 11, 15, 17]"
Back to Mom's,6.409925,No Collection,[3]
Elmer Gantry,6.409512,No Collection,[6]
National Security,6.409297,No Collection,"[0, 3, 4, 17]"
I Am Not a Serial Killer,6.409124,No Collection,"[11, 17]"
Marnie,6.409094,No Collection,"[4, 6, 13, 17]"
Come See the Paradise,6.408322,No Collection,"[6, 14, 10]"
Born to Raise Hell,6.407803,No Collection,"[0, 17]"
The Snow Queen,6.407641,Snow Queen Collection,"[2, 8]"
Pontypool,6.407207,No Collection,"[11, 13, 15]"
Extreme Prejudice,6.407061,No Collection,"[0, 4, 6, 17, 19]"
Osmosis Jones,6.405831,No Collection,"[1, 2, 0, 3, 7]"
Maudie,6.404957,No Collection,"[6, 10, 14]"
Cado dalle nubi,6.40477,No Collection,[3]
Whore,6.404093,No Collection,[6]
Son of Saul,6.403937,No Collection,"[18, 6, 17]"
Exposed,6.402939,No Collection,"[6, 4, 17]"
Cleanskin,6.402926,No Collection,"[6, 17, 4]"
Bring It On,6.402888,Bring It On Collection,[3]
He Even Has Your Eyes,6.401902,No Collection,[3]
Amityville: A New Generation,6.401828,The Amityville Horror Collection,[11]
Under the Mountain,6.401471,No Collection,"[8, 1, 6]"
The Forgotten,6.40146,No Collection,"[4, 6, 11, 13, 15, 17]"
Hawking,6.400496,No Collection,"[6, 16]"
Tequila Sunrise,6.399977,No Collection,"[0, 1, 4, 14, 17]"
Hoodwinked!,6.398984,Hoodwinked! Collection,"[2, 3, 7]"
Sleep with Me,6.398905,No Collection,"[3, 6, 14]"
Motel Hell,6.398395,No Collection,"[3, 11]"
Bound by Honor,6.398031,No Collection,"[0, 4, 6, 17]"
Shanghai Kiss,6.397927,No Collection,"[3, 6, 14]"
The Last Exorcism,6.397109,The Last Exorcism Collection,"[11, 6, 17]"
Drop Dead Gorgeous,6.396767,No Collection,[3]
Absolutely Fabulous: The Movie,6.395748,No Collection,[3]
Domino,6.394143,No Collection,"[0, 4]"
The Answer Man,6.39166,No Collection,"[3, 14]"
Go Fast,6.39093,No Collection,"[6, 0, 4]"
The Secret Life of Bees,6.390463,No Collection,[1]
Marauders,6.389818,No Collection,"[0, 4, 17]"
The Gauntlet,6.389326,No Collection,"[6, 0, 4, 17]"
Hilary and Jackie,6.387602,No Collection,"[12, 6]"
Bio-Dome,6.387469,No Collection,[3]
Angels in America,6.386873,No Collection,"[6, 8]"
Wet Hot American Summer,6.386082,No Collection,[3]
How to Kill Your Neighbor's Dog,6.38471,No Collection,"[3, 6]"
Damage,6.384589,No Collection,"[6, 14]"
Lovelace,6.383512,No Collection,[6]
Antboy,6.383492,Antboy Collection,"[3, 1, 7]"
Welcome to the Jungle,6.381313,No Collection,[3]
Forbidden Planet,6.379966,No Collection,"[1, 15, 0]"
Kinsey,6.3793,No Collection,[6]
¡Three Amigos!,6.377624,No Collection,"[3, 19]"
Cheeky,6.377611,No Collection,"[3, 6, 14]"
Penthouse North,6.377068,No Collection,"[17, 6]"
Bedevilled,6.375628,No Collection,"[17, 4, 6, 11]"
Mongol: The Rise of Genghis Khan,6.375447,No Collection,[10]
The Heroine,6.374456,No Collection,"[0, 4, 9]"
The Act of Killing,6.373118,No Collection,[5]
The Land Before Time III: The Time of the Great Giving,6.372442,The Land Before Time Collection,"[2, 1, 7]"
21 Grams,6.372278,No Collection,"[6, 4, 17]"
Nightbreed,6.372135,No Collection,"[0, 6, 8, 11]"
Finding Amanda,6.371674,No Collection,"[3, 6]"
The Transfiguration,6.371291,No Collection,"[11, 6]"
Psycho II,6.370495,Psycho Collection,"[11, 13, 17]"
Kuffs,6.370387,No Collection,"[0, 3, 4]"
Are We Done Yet?,6.370205,The Are We Collection,"[3, 7, 6]"
Gun Shy,6.370105,No Collection,"[0, 3, 14, 17]"
Rabbit Without Ears,6.370074,Keinohrhasen Filmreihe,"[6, 3, 14]"
The 51st State,6.368323,No Collection,"[17, 0, 3, 4]"
Pickup on South Street,6.366499,No Collection,"[6, 17]"
Goon: Last of the Enforcers,6.365691,Goon Collection,[3]
Family Guy Presents Stewie Griffin: The Untold Story,6.365552,No Collection,"[3, 2]"
You Will Meet a Tall Dark Stranger,6.36477,No Collection,"[3, 6, 14]"
Cinderella Man,6.363884,No Collection,"[14, 6, 10]"
Follow the Fleet,6.363505,No Collection,"[3, 12, 14]"
Viva Las Vegas,6.363489,No Collection,"[3, 6, 12, 14]"
Hard Rain,6.363405,No Collection,[17]
The Piano Teacher,6.363081,No Collection,"[6, 14]"
Tin Man,6.362129,No Collection,"[1, 8, 15]"
Russian Dolls,6.361343,The Klapisch Trilogy,"[3, 6, 14]"
Scarlet Street,6.360746,No Collection,[6]
The Killing Room,6.358789,No Collection,"[6, 17]"
Stick,6.357952,No Collection,"[1, 0, 6, 4]"
Repo Man,6.357559,No Collection,"[3, 4, 15, 17]"
Wings of Desire,6.357321,No Collection,"[6, 8, 14]"
Jackboots on Whitehall,6.356866,No Collection,"[18, 2, 3]"
The Inbetweeners 2,6.3567,The Inbetweeners Collection,[3]
12 Rounds 2: Reloaded,6.35611,12 Rounds Collection,"[0, 1]"
Outrage,6.355452,Outrage Collection,"[0, 4, 6]"
Domestic Disturbance,6.353996,No Collection,"[13, 17, 4]"
Blood from the Mummy's Tomb,6.353881,The Mummy (Hammer Series),[11]
His Name Was Jason: 30 Years of Friday the 13th,6.353353,No Collection,"[5, 11]"
How the Grinch Stole Christmas!,6.353239,No Collection,"[2, 7, 3]"
Night Moves,6.35282,No Collection,"[17, 6]"
Bloodsport: The Dark Kumite,6.352793,Bloodsport Collection,"[0, 17]"
Caddyshack II,6.349281,Caddyshack Collection,[3]
Ulzana's Raid,6.349126,No Collection,"[0, 6, 19]"
Celeste & Jesse Forever,6.348565,No Collection,"[3, 6, 14]"
Naomi and Ely's No Kiss List,6.347034,No Collection,"[3, 6, 14]"
Flash Gordon,6.346979,No Collection,[15]
Assassination,6.346176,No Collection,"[0, 6, 10, 17]"
Psycho III,6.345885,Psycho Collection,"[11, 17]"
Capture the Flag,6.345679,No Collection,"[3, 2, 1]"
Day & Night,6.345512,No Collection,"[2, 7]"
My Big Fat Greek Wedding 2,6.344961,My Big Fat Greek Wedding Collection,"[14, 3, 7]"
In the Loop,6.341259,No Collection,[3]
Monster's Ball,6.341187,No Collection,"[6, 14]"
Red State,6.340655,No Collection,"[11, 0, 17]"
Nicholas on Holiday,6.339846,Little Nicholas Collection,"[7, 3]"
Ronaldo,6.339693,No Collection,"[10, 5]"
The Last Deadly Mission,6.33835,No Collection,"[4, 6, 17]"
Side by Side,6.337857,No Collection,[5]
Red Eye,6.336927,No Collection,"[11, 17]"
Nurse Betty,6.335925,No Collection,"[3, 4, 17]"
Tommy,6.335814,No Collection,"[6, 12]"
Hannah Montana: The Movie,6.332878,No Collection,"[3, 6, 7, 12, 14]"
In the Blood,6.332859,No Collection,"[0, 4, 17]"
Life or Something Like It,6.332398,No Collection,"[3, 6, 14]"
In a Lonely Place,6.331826,No Collection,"[6, 13, 17]"
In Country,6.329111,No Collection,"[6, 3, 14]"
Mr. Turner,6.328696,No Collection,"[10, 6]"
Monster-in-Law,6.328385,No Collection,"[14, 3]"
Something from Nothing: The Art of Rap,6.328119,No Collection,[5]
Close Your Eyes,6.327386,No Collection,"[4, 11, 17, 13]"
The Break-Up,6.327193,No Collection,"[14, 3]"
Hells Angels on Wheels,6.325139,No Collection,"[1, 6, 0, 17, 4]"
The Killer Inside Me,6.324751,No Collection,"[4, 6, 17]"
Ae Fond Kiss...,6.32444,No Collection,[6]
In My Father's Den,6.323198,No Collection,"[6, 17]"
The Quiet Ones,6.322844,No Collection,[11]
One for the Money,6.322435,No Collection,"[0, 3, 4]"
Premature,6.322381,No Collection,[3]
A Trip to the Moon,6.321801,No Collection,"[1, 8, 15]"
Sissi: The Young Empress,6.321126,Sissi Collection,"[6, 3, 14]"
The Day of the Jackal,6.320225,No Collection,"[0, 17]"
Patema Inverted,6.319675,No Collection,"[2, 1, 6, 8, 15]"
Shrew's Nest,6.319326,No Collection,"[11, 17, 6]"
My Sassy Girl,6.318475,No Collection,"[3, 6, 14]"
The American President,6.318445,No Collection,"[3, 6, 14]"
Hotel for Dogs,6.317992,No Collection,"[3, 7]"
1900,6.317822,No Collection,"[6, 10, 14]"
Supersonic,6.316596,No Collection,"[5, 12]"
"If It's Tuesday, This Must Be Belgium",6.315524,No Collection,"[14, 3, 1]"
Sympathy for Mr. Vengeance,6.314697,The Vengeance Collection,"[0, 6, 17]"
The Last of the Finest,6.313545,No Collection,"[0, 4, 6]"
White God,6.313465,No Collection,[6]
Breaker Morant,6.313297,No Collection,"[6, 10, 18]"
In This Our Life,6.312577,No Collection,"[6, 14]"
The Summit,6.312295,No Collection,"[1, 5]"
Bajrangi Bhaijaan,6.31224,No Collection,"[1, 3, 6]"
Fired Up!,6.312206,No Collection,[3]
Caprice,6.311574,No Collection,"[17, 3, 4]"
The Crow: Salvation,6.311201,The Crow Collection,"[0, 15, 17]"
Spies Like Us,6.310054,No Collection,"[3, 1]"
I Am Love,6.309187,No Collection,"[6, 14]"
Imagine That,6.308773,No Collection,[3]
The Wedding Pact,6.305437,No Collection,"[3, 14]"
Fantastic Planet,6.305008,No Collection,"[2, 8, 15]"
Fair Game,6.303785,No Collection,"[6, 17]"
A Touch of Sin,6.303552,No Collection,[6]
The River,6.303384,No Collection,[6]
Volver,6.302926,No Collection,"[3, 6, 14]"
The Entity,6.302682,No Collection,"[11, 13, 17]"
Inherit the Wind,6.302173,No Collection,"[6, 10]"
The Liability,6.301471,No Collection,"[17, 3, 4]"
Slow Burn,6.300001,No Collection,"[13, 4, 6, 17]"
Mr. Klein,6.298305,No Collection,"[18, 13, 4, 6, 17]"
Godzilla vs. Biollante,6.297432,Godzilla (Heisei) Collection,"[11, 15]"
"Synecdoche, New York",6.295807,No Collection,[6]
Snow Day,6.295701,No Collection,"[3, 7]"
Simon,6.295611,No Collection,"[3, 15]"
The Assassin,6.294815,No Collection,"[0, 6, 10]"
Beyond the Lights,6.293515,No Collection,"[14, 6]"
Retribution,6.292114,No Collection,[17]
The Last Shot,6.292054,No Collection,"[0, 3]"
...And Justice for All,6.291512,No Collection,"[4, 6, 13, 17]"
Tokyo Godfathers,6.288949,No Collection,"[2, 6]"
Magnificent Presence,6.2877,No Collection,[6]
The Wizards Return: Alex vs. Alex,6.287572,Wizards of Waverly Place Collection,"[1, 3, 6]"
Jack,6.287245,No Collection,"[3, 6, 15]"
Nothing to Lose,6.287242,No Collection,"[0, 1, 3]"
Dark Passage,6.287228,No Collection,"[4, 6, 14, 17]"
Maya the Bee Movie,6.287213,No Collection,"[7, 2]"
The Ridiculous 6,6.287086,No Collection,"[3, 19]"
The Family Man,6.287072,No Collection,"[3, 6, 14, 8]"
Three Steps Above Heaven,6.28597,Three Steps Above Heaven Collection,"[14, 6]"
Island in the Sky,6.285648,No Collection,"[1, 6]"
Fools Rush In,6.285574,No Collection,"[6, 3, 14]"
Knights of Badassdom,6.281872,No Collection,"[1, 8, 11, 3]"
The Marksman,6.281762,No Collection,"[0, 1, 17]"
Dragon Wars: D-War,6.280906,No Collection,"[8, 6, 11, 0, 17, 15]"
Deconstructing Harry,6.280515,No Collection,"[3, 6]"
Any Which Way You Can,6.279562,Philo & Clyde Collection,"[0, 1, 3]"
The Spy Who Came in from the Cold,6.279114,No Collection,"[6, 17]"
Rising Sun,6.279082,No Collection,"[0, 6, 17]"
A Christmas Kiss,6.278291,No Collection,"[7, 16, 14]"
American Heist,6.278168,No Collection,[0]
Staten Island Summer,6.277157,No Collection,[3]
High Sierra,6.27696,No Collection,"[1, 6, 17, 4]"
Winchester '73,6.275958,No Collection,[19]
EuroTrip,6.275468,No Collection,[3]
Charlie St. Cloud,6.273131,No Collection,[6]
Trancers,6.272745,Trancers Collection,"[11, 15, 4]"
Things Change,6.272716,No Collection,"[6, 3, 4]"
Chocolate,6.272128,No Collection,"[0, 3, 4]"
Birthday Girl,6.271279,No Collection,"[3, 4, 17]"
Hollow Man II,6.269922,Hollow Man Collection,"[11, 0, 17, 15]"
The Toy,6.269867,No Collection,"[3, 7]"
The Good Guy,6.269507,No Collection,"[3, 14]"
"Easy Riders, Raging Bulls",6.268935,No Collection,[5]
The Public Eye,6.268871,No Collection,"[0, 1, 4, 6, 17]"
The Disappearance of Eleanor Rigby: Them,6.266831,The Disappearance Of Eleanor Rigby,[6]
Castaway on the Moon,6.266701,No Collection,"[6, 3, 14]"
The Woman in the Window,6.266656,No Collection,"[6, 17]"
Futureworld,6.265857,Westworld Collection,"[0, 1, 15, 17]"
St. Ives,6.264423,No Collection,"[4, 0, 17, 13]"
The Dish,6.263988,No Collection,"[10, 3, 6]"
Ice Age: The Great Egg-Scapade,6.263676,No Collection,"[1, 2, 3, 7, 16]"
Bend It Like Beckham,6.262677,No Collection,"[3, 6, 14]"
Bachelor Party Vegas,6.262514,No Collection,[3]
Call Me Claus,6.262258,No Collection,"[16, 7]"
A Company Man,6.261686,No Collection,"[6, 0]"
"Black Cat, White Cat",6.261475,No Collection,"[3, 14]"
School Daze,6.25967,No Collection,"[3, 6]"
Prêt-à-Porter,6.259433,No Collection,"[6, 3]"
The Return of the Living Dead,6.258984,Return of the Living Dead Collection,"[3, 11]"
The Love Guru,6.258666,No Collection,"[3, 14]"
Zabriskie Point,6.258456,No Collection,"[6, 14]"
The Kings of Summer,6.25805,No Collection,"[3, 6]"
Little Monsters,6.256969,No Collection,"[1, 8, 3, 7]"
Best in Show,6.256848,No Collection,[3]
Box of Moonlight,6.254986,No Collection,"[3, 6]"
Wild Hearts Can't Be Broken,6.254895,No Collection,"[6, 7]"
The Rewrite,6.253843,No Collection,"[14, 3]"
Pandemic,6.253285,No Collection,"[0, 15, 17]"
Senseless,6.253164,No Collection,"[3, 14]"
The Men Who Stare at Goats,6.253084,No Collection,"[3, 18]"
The Neverending Story III: Escape from Fantasia,6.252377,The Neverending Story Collection,[8]
Miss Firecracker,6.250816,No Collection,[3]
Tin Cup,6.24966,No Collection,"[3, 6, 14]"
A United Kingdom,6.249112,No Collection,"[6, 10]"
Cemetery Man,6.247819,No Collection,"[8, 6, 11, 3]"
Superman vs. The Elite,6.247758,No Collection,"[2, 0]"
A Tale of Two Sisters,6.247028,No Collection,"[6, 11, 13]"
Riddle,6.24665,No Collection,"[13, 17]"
Searching for Sugar Man,6.245191,No Collection,"[5, 12]"
Loser,6.244901,No Collection,"[6, 3, 14, 7]"
Creature,6.243385,No Collection,"[11, 15, 17]"
Torn Curtain,6.243248,No Collection,"[13, 17]"
Southland Tales,6.242588,No Collection,"[3, 15, 17]"
The Perfect Score,6.2425,No Collection,"[3, 4]"
Days of Being Wild,6.242263,Wong Kar-Wai's Informal Collection,"[4, 6, 14]"
K-20: The Fiend with Twenty Faces,6.242159,No Collection,"[0, 1, 4]"
Queens Logic,6.24172,No Collection,"[3, 6]"
Missing in Action,6.241185,Missing in Action Collection,"[0, 1, 17, 18]"
Curse of the Golden Flower,6.238036,No Collection,"[0, 6, 8]"
Hansel and Gretel Get Baked,6.23802,No Collection,"[11, 3]"
Tarzan & Jane,6.237055,Tarzan (Animation) Collection,"[2, 7]"
Lost and Delirious,6.236798,No Collection,"[6, 14]"
Crazy/Beautiful,6.236729,No Collection,"[6, 14]"
Body,6.236714,No Collection,"[6, 17]"
Instinct,6.236116,No Collection,"[6, 13, 17]"
The Marc Pease Experience,6.236016,No Collection,[3]
Girl Asleep,6.235767,No Collection,"[8, 3, 6]"
Dancing Lady,6.232671,No Collection,"[3, 6, 12, 14]"
Anuvahood,6.231965,No Collection,"[3, 9]"
The Reluctant Fundamentalist,6.231928,No Collection,[17]
I Am Wrath,6.2319,No Collection,"[0, 4, 6, 17]"
The Connection,6.231766,No Collection,"[0, 4, 17]"
The Player,6.230854,No Collection,"[3, 6]"
Danny Deckchair,6.229794,No Collection,"[3, 14]"
Shalako,6.229674,No Collection,[19]
Babe: Pig in the City,6.229629,Babe Collection,"[1, 3, 6, 7, 8]"
Blue Streak,6.229424,No Collection,"[0, 3, 4]"
The End of Evangelion,6.228255,Evangelion Collection,"[2, 6, 15]"
The Tailor of Panama,6.226933,No Collection,"[6, 17]"
Meet Bill,6.226054,No Collection,"[3, 6, 14]"
The Mosquito Coast,6.224859,No Collection,"[1, 6]"
Sleepaway Camp,6.224311,Sleepaway Camp Collection,[11]
Dragon Ball Z: The World's Strongest,6.223436,Dragon Ball Z (Movie) Collection,"[0, 2]"
The Happening,6.22229,No Collection,"[17, 15]"
Jason and the Argonauts,6.222085,No Collection,"[1, 7, 8]"
Swamp Shark,6.218698,No Collection,"[16, 11, 17]"
The Wing or the Thigh,6.218351,No Collection,[3]
Wait Until Dark,6.216637,No Collection,"[11, 4, 17]"
Cloud 9,6.216199,No Collection,"[0, 6, 14, 16]"
Hick,6.21609,No Collection,"[3, 6]"
Cowspiracy: The Sustainability Secret,6.213797,No Collection,[5]
The Marquis,6.213759,No Collection,[3]
Fantomas Unleashed,6.212713,Fantomas Collection,"[3, 4, 1, 8]"
Space Chimps,6.212702,Space Chimps Collection,"[2, 7]"
Never Die Alone,6.212433,No Collection,"[0, 1, 4, 6, 17]"
A Family Thing,6.207993,No Collection,"[3, 6]"
Kagemusha,6.206807,No Collection,"[0, 6, 10, 18]"
Room in Rome,6.206694,No Collection,"[6, 14]"
Revenge for Jolly!,6.206395,No Collection,"[3, 6]"
Dr. Dolittle 3,6.204275,Dr. Dolittle Collection,"[3, 7, 8]"
The Gold Rush,6.202041,No Collection,"[1, 3, 6]"
Hold That Ghost,6.201988,No Collection,[3]
Residue,6.201362,No Collection,"[15, 13, 11, 17]"
The End of the Affair,6.200344,No Collection,[6]
Halloween 4: The Return of Michael Myers,6.199806,Halloween Collection,"[11, 17]"
Deep Water,6.198833,No Collection,"[5, 1, 6, 0]"
Just Visiting,6.198238,The Visitors Collection,"[3, 8, 15]"
Paranoid Park,6.198003,No Collection,"[13, 4, 6]"
Star Trek III: The Search for Spock,6.197298,Star Trek: The Original Series Collection,"[15, 0, 1, 17]"
Three Wishes for Cinderella,6.19728,No Collection,"[8, 6, 7, 1, 14]"
Introducing Dorothy Dandridge,6.197144,No Collection,[6]
Stephanie Daley,6.196999,No Collection,[6]
The Eagle,6.196929,No Collection,"[1, 6]"
100 Streets,6.195956,No Collection,[6]
Get the Gringo,6.195103,No Collection,"[0, 17, 4, 6]"
At Middleton,6.195085,No Collection,"[14, 3]"
Cheech & Chong's Next Movie,6.194478,Cheech & Chong Collection,"[0, 1, 3]"
An Amish Murder,6.19377,No Collection,"[16, 6, 13, 17]"
Battlestar Galactica: The Plan,6.190967,Battlestar Galactica (Reboot) Collection,"[15, 0, 1, 6]"
The Man Who Would Be King,6.189816,No Collection,"[1, 6]"
"Don't Worry, I'm Fine",6.189495,No Collection,[6]
Crime Story,6.188664,No Collection,"[17, 0, 4, 6]"
Paranormal Activity 4,6.188286,Paranormal Activity Collection,[11]
To Live and Die in L.A.,6.186999,No Collection,"[0, 4, 17]"
The Closet,6.186121,No Collection,[3]
Sweet Land,6.185658,No Collection,"[6, 14]"
Jodorowsky's Dune,6.18442,No Collection,"[5, 6]"
Robot Overlords,6.184303,No Collection,"[1, 15, 0]"
Sheep & Wolves,6.184098,No Collection,"[1, 2, 3, 7, 8, 14]"
The Scarlet Empress,6.183889,No Collection,"[6, 10, 14]"
Legend of the Fist: The Return of Chen Zhen,6.183418,No Collection,"[6, 0, 10, 17]"
The Last Mimzy,6.183051,No Collection,"[1, 7]"
Mr. Nice Guy,6.183021,No Collection,"[4, 0, 3]"
Welcome to the Rileys,6.182802,No Collection,[6]
Priceless,6.18064,No Collection,"[6, 3, 14]"
The Edge of Love,6.179073,No Collection,"[6, 10, 14]"
The Young Poisoner's Handbook,6.178497,No Collection,"[3, 4, 6]"
The Heroes of Telemark,6.178358,No Collection,"[18, 0, 6, 10]"
White Noise 2: The Light,6.176386,White Noise Collection,"[17, 6, 11, 8]"
Stella,6.175627,No Collection,[6]
A Room with a View,6.175166,No Collection,"[6, 14]"
Once Bitten,6.174699,No Collection,"[11, 3, 14]"
Redirected,6.174324,No Collection,"[0, 3, 4, 17]"
The First Day of the Rest of Your Life,6.173752,No Collection,[6]
"Stockholm, Pennsylvania",6.173635,No Collection,"[6, 17]"
The Watcher,6.173059,No Collection,"[13, 17]"
Puppet Master,6.173017,Puppet Master Collection,[11]
Extinction,6.171657,No Collection,"[6, 11, 15]"
Jesse Stone: No Remorse,6.171229,Jesse Stone Collection,"[6, 17, 4, 13]"
Police Academy: Mission to Moscow,6.168241,Police Academy Collection,"[3, 4]"
Prom,6.167646,No Collection,[3]
From the Land of the Moon,6.165491,No Collection,"[6, 14]"
For Me and My Gal,6.165341,No Collection,"[6, 12, 14]"
Bokeh,6.165126,No Collection,"[6, 15, 17]"
Kitchen Stories,6.164594,No Collection,"[6, 3]"
Queen of Katwe,6.164561,No Collection,[6]
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,6.164534,No Collection,"[3, 17, 6]"
The Stepfather,6.164529,No Collection,"[11, 17, 13]"
Around the World in Eighty Days,6.164226,No Collection,"[1, 3, 7, 8, 14]"
Sorry if I Love You,6.16374,No Collection,[3]
The Driver,6.163618,No Collection,"[0, 4, 6, 17]"
Emperor,6.159679,No Collection,"[6, 10, 18]"
Big Miracle,6.159379,No Collection,"[1, 6, 14]"
Tokyo Raiders,6.159032,No Collection,"[17, 0, 3]"
Rumor Has It...,6.158212,No Collection,[3]
Away from Her,6.157162,No Collection,"[6, 14]"
Love Is Strange,6.15698,No Collection,[6]
13Hrs,6.156071,No Collection,"[11, 0]"
Room 237,6.154844,No Collection,[5]
Monsters,6.154375,Monsters Collection,"[6, 17, 15]"
Ragtime,6.154039,No Collection,[6]
Book of Blood,6.152506,No Collection,"[11, 6, 13, 17]"
Wish I Was Here,6.149295,No Collection,"[6, 3]"
Summer of Sam,6.14854,No Collection,"[17, 6, 4, 14]"
Gone Baby Gone,6.148516,No Collection,"[4, 6, 13]"
Poison Ivy: The New Seduction,6.146452,Poison Ivy Collection,"[17, 14]"
Land and Freedom,6.144235,No Collection,"[6, 10, 18, 14]"
Carry On Cleo,6.143986,The Carry On Collection,[3]
White Noise,6.143324,White Noise Collection,"[6, 11, 17]"
Young Adult,6.142913,No Collection,"[3, 6]"
Restless,6.140556,No Collection,"[6, 14]"
Quarantine,6.140116,Quarantine Collection,"[11, 15, 17]"
Tuff Turf,6.138911,No Collection,"[6, 0, 14]"
King Solomon's Mines,6.138795,Allan Quatermain Collection,"[0, 1, 3]"
I Stand Alone,6.138782,No Collection,"[6, 17]"
Love Me If You Dare,6.138669,No Collection,"[6, 3, 14]"
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,6.138381,No Collection,[3]
The Fundamentals of Caring,6.138199,No Collection,"[3, 6]"
Oscar,6.137796,No Collection,"[0, 3, 17, 7]"
Home Alone 4,6.137056,Home Alone Collection,"[4, 3, 7]"
The Love Punch,6.136853,No Collection,[3]
Ghost Team One,6.136155,No Collection,"[3, 11]"
Barbie: The Princess & The Popstar,6.135769,No Collection,"[7, 2]"
Charlie Bartlett,6.135652,No Collection,"[3, 6]"
Invasion of the Body Snatchers,6.135431,No Collection,"[11, 15]"
Buffalo Soldiers,6.134588,No Collection,"[6, 3, 18, 4, 17]"
400 Days,6.133899,No Collection,"[13, 15, 17]"
Truth,6.133745,No Collection,[6]
The Purple Rose of Cairo,6.133697,No Collection,"[8, 3, 14]"
The Slumber Party Massacre,6.133484,The Slumber Party Massacre Collection,"[3, 11]"
Fed Up,6.133204,No Collection,[5]
Children of the Corn V: Fields of Terror,6.132346,Children of the Corn Collection,"[11, 17]"
Blue Chips,6.131056,No Collection,[6]
"Rome, Open City",6.130177,War Trilogy,"[6, 10]"
Dragon Ball Z: Broly - Second Coming,6.12929,Dragon Ball Z (Movie) Collection,"[0, 2]"
Once Fallen,6.128473,No Collection,"[6, 0, 4]"
Love Story,6.127903,No Collection,"[6, 14]"
Moms' Night Out,6.127302,No Collection,[3]
Cat People,6.126046,No Collection,"[6, 8, 11, 17]"
The Hungover Games,6.125484,No Collection,[3]
Angels Crest,6.123723,No Collection,[6]
The Bone Snatcher,6.123475,No Collection,"[15, 11]"
The Dinner Game,6.122739,No Collection,[3]
Nightwatch,6.122067,No Collection,"[0, 6, 11, 13, 17]"
Hot Young Bloods,6.121599,No Collection,"[14, 6, 3]"
Scooby-Doo! and the Witch's Ghost,6.121407,No Collection,"[2, 3]"
The Heavy,6.120644,No Collection,"[17, 0, 1]"
Coco Before Chanel,6.119818,No Collection,"[6, 10]"
Man-Thing,6.11959,No Collection,"[0, 11, 15]"
Fire in the Sky,6.118228,No Collection,"[6, 11, 17, 13]"
Hot Rod,6.117846,No Collection,"[0, 3]"
Melinda and Melinda,6.117784,No Collection,"[3, 6, 14]"
Lolo,6.117335,No Collection,[3]
A Few Best Men,6.116093,A Few Best Men Collection,[3]
